Date,Description,Amount
2026-02-01,RENT ACME APTS,-1600.00
2026-02-07,ACME PAYROLL,2200.00
2026-02-08,SAFEWAY GROCERY,-148.22
2026-02-10,GEICO AUTO,-180.00
2026-02-12,TMOBILE,-90.00
2026-02-15,WESTLAKE FINANCIAL,-450.00
2026-02-20,AVISTA ELECTRIC,-136.40
2026-02-21,ACME PAYROLL,2200.00
2026-02-22,SAFEWAY GROCERY,-161.10
2026-03-01,RENT ACME APTS,-1600.00
2026-03-01,SAFEWAY GROCERY,-142.80
2026-03-07,ACME PAYROLL,2200.00
2026-03-08,SAFEWAY GROCERY,-155.00
2026-03-10,GEICO AUTO,-180.00
2026-03-12,TMOBILE,-90.00
2026-03-15,WESTLAKE FINANCIAL,-450.00
2026-03-20,AVISTA ELECTRIC,-141.25
2026-03-21,ACME PAYROLL,2200.00
2026-03-22,SAFEWAY GROCERY,-139.90
2026-04-01,RENT ACME APTS,-1600.00
2026-04-04,ACME PAYROLL,2200.00
2026-04-05,SAFEWAY GROCERY,-170.15
2026-04-10,GEICO AUTO,-180.00
2026-04-12,TMOBILE,-90.00
2026-04-15,WESTLAKE FINANCIAL,-450.00
2026-04-18,ACME PAYROLL,2200.00
2026-04-20,AVISTA ELECTRIC,-128.00
2026-04-26,SAFEWAY GROCERY,-151.40
2026-05-01,RENT ACME APTS,-1600.00
2026-05-02,ACME PAYROLL,2200.00
2026-05-03,SAFEWAY GROCERY,-144.00
2026-05-10,GEICO AUTO,-180.00
2026-05-12,TMOBILE,-90.00
2026-05-15,WESTLAKE FINANCIAL,-450.00
2026-05-16,ACME PAYROLL,2200.00
2026-05-20,AVISTA ELECTRIC,-133.70
2026-05-24,SAFEWAY GROCERY,-162.55
2026-05-30,ACME PAYROLL,2200.00
